fecha,land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update
2024-07-22 18:18:54.689203,26,Production Courtyard,40,The Twilight Zone Tower of Terror,True,5,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,30,Art of Disney Animation,False,0,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,31,Cars Quatre Roues Rallye,True,5,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,29,Cars ROAD TRIP,True,10,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,32,Crush's Coaster,True,55,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,7277,Crush's Coaster Single Rider,True,45,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,33,Les Tapis Volants - Flying Carpets Over Agrabah®,False,0,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,37,Ratatouille: The Adventure,True,20,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,7279,Ratatouille: The Adventure Single Rider,True,5,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,34,RC Racer,True,25,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,7280,RC Racer Single Rider,True,0,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,36,Slinky® Dog Zigzag Spin,False,0,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,35,Toy Soldiers Parachute Drop,True,25,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,27,Toon Studio,7281,Toy Soldiers Parachute Drop Single Rider,True,10,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,25,Backlot (Closed),38,Armageddon : les Effets Spéciaux,False,0,2024-07-22T16:15:13.000Z
2024-07-22 18:18:54.689203,25,Backlot (Closed),39,Rock'n'Roller Coaster starring Aerosmith,False,0,2024-07-22T16:15:13.000Z
2024-06-26 11:56:59.579889,906,Marvel Avengers Campus,10848,Avengers Assemble: Flight Force,True,25,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,906,Marvel Avengers Campus,10849,Avengers Assemble: Flight Force Single Rider,True,5,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,906,Marvel Avengers Campus,10845,Spider-Man W.E.B. Adventure,True,60,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,906,Marvel Avengers Campus,10846,Spider-Man W.E.B. Adventure Single Rider,True,30,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,26,Production Courtyard,266,Meet Spider Man,False,0,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,26,Production Courtyard,40,The Twilight Zone Tower of Terror,True,50,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,30,Art of Disney Animation,False,0,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,31,Cars Quatre Roues Rallye,True,25,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,29,Cars ROAD TRIP,True,15,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,32,Crush's Coaster,True,75,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,7277,Crush's Coaster Single Rider,True,65,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,33,Les Tapis Volants - Flying Carpets Over Agrabah®,False,0,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,37,Ratatouille: The Adventure,True,30,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,7279,Ratatouille: The Adventure Single Rider,True,5,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,34,RC Racer,True,50,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,7280,RC Racer Single Rider,True,25,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,36,Slinky® Dog Zigzag Spin,True,25,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,35,Toy Soldiers Parachute Drop,False,0,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,27,Toon Studio,7281,Toy Soldiers Parachute Drop Single Rider,False,0,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,25,Backlot (Closed),38,Armageddon : les Effets Spéciaux,False,0,2024-06-26T09:55:12.000Z
2024-06-26 11:56:59.579889,25,Backlot (Closed),39,Rock'n'Roller Coaster starring Aerosmith,False,0,2024-06-26T09:55:12.000Z
